Column1;type;cityl;pricel;sqm2;sqm;price;Column2
1;Maison;FAIMES;240.000 €;NA;;;
2;Maison;GEER;239.000 €;140 m²;140;239000;
3;Maison;Berloz;219.000 €;NA;109;219000;
4;TB;CORSWAREM;69.000 €;NA;;;
5;TB;CELLES;85.000 €;NA;;;
6;Maison;REMICOURT;359.000 €;NA;240;359000;
7;Maison;CORSWAREM;215.000 €;NA;;;
8;Bungalow;BLÃ<U+0089>GNY;320.000 €;NA;240;32000;
9;TB;JENEFFE;119.900 €;NA;100;119900;
10;Maison;BERLOZ;250.000 €;NA;130;250000;
11;TB;BERGILERS;360.000 €;NA;240;360000;
12;Maison;GEER;199.000 €;NA;100;199000;
13;Maison;DONCEEL;195.000 €;NA;100;195000;
14;Bungalow;POUSSET;285.000 €;NA;200;285000;
15;Maison;WAREMME;208.550 €;100 m²;100;208550;
16;Maison;WAREMME;202.000 €;100 m²;100;202000;
17;Maison;WAREMME;NA;109 m²;109;218000;
18;Maison;WAREMME;218.000 €;109 m²;109;218000;
19;Maison;WAREMME;222.000 €;109 m²;109;222000;
20;Maison;WAREMME;201.750 €;105 m²;105;201750;
21;Maison;WAREMME;201.750 €;105 m²;105;201750;
22;Maison;WAREMME;224.250 €;109 m²;109;224250;
23;Appartement;WAREMME;109.000 €;NA;;109000;
24;Commerce;DONCEEL;185.000 €;NA;;185000;
25;Commerce;DONCEEL;219.000 €;NA;;;
26;Immeuble à appartements;LIÈGE;275.000 €;NA;;;
27;Appartement;HOLLOGNE-SUR-GEER;375.000 €;315 m²;315;375000;
28;Appartement;ROCOURT;139.000 €;NA;;;
29;Maison;WAREMME;279.000 €;NA;140;279000;
30;Maison;WAREMME;170.000 €;175 m²;175;170000;240000
31;Terrain à bâtir;WAREMME;39.900 €;NA;;;
32;Villa;VERLAINE;425.000 €;4;240;425000;
33;Maison;DONCEEL;550.000 €;NA;;;
34;Maison;WAREMME;180.000 €;220 m²;220;180000;280000
35;Maison;HEERS;85.000 €;;;;
36;Maison;DONCEEL;125.000 €;NA;99;125000;
37;Maison unifamiliale;BERLOZ;209.000 €;NA;;;
38;Ferme;WAREMME;670.000 €;NA;;;
39;Maison bel étage;ALLEUR;235.000 €;NA;;;
40;Maison;ANS;189.000 €;NA;100;189000;
41;Bungalow;GEER;189.000 €;NA;;;
42;TB;WAREMME;99.000 €;NA;;;
43;Maison;WAREMME;145.000 €;NA;;;
44;Maison;WAREMME;115.000 €;130 m²;130;115000;215000
45;TB;GRAND-AXHE;85.000 €;NA;;;
46;Maison;RUKKELINGEN-LOON;135.000 €;200 m²;200;135000;235000
47;TB;VERLAINE;298.500 €;NA;;;
48;Commerce;WAREMME;98.500 €;NA;;;
49;Villa;FAIMES;NA;NA;;;
50;Villa;FAIMES;268.000 €;NA;;;
51;Maison;WAREMME;NA;108 m²;108;;
52;Maison;WAREMME;NA;108 m²;108;;
53;Maison;WAREMME;NA;;;;
54;Maison;WAREMME;NA;;;;
55;Maison;WAREMME;NA;99 m²;99;;
56;Maison;WAREMME;NA;99 m²;99;;
57;Maison;WAREMME;NA;108 m²;108;215000;
58;Maison;WAREMME;214.600 €;105 m²;105;214600;
59;Maison;WAREMME;NA;108 m²;108;222000;
60;Maison;REMICOURT;255.000 €;NA;130;255000;
61;Maison;REMICOURT;NA;NA;;;
62;Maison;REMICOURT;NA;NA;;;
63;Immeuble à appartements;LIÈGE;395.000 €;NA;;;
64;Maison;WAREMME;199.000 €;5;100;199000;
65;Appartement;Waremme;NA;93 m²;93;;
66;Appartement;Waremme;NA;77 m²;77;;
67;Appartement;Waremme;NA;92 m²;92;;
68;Appartement;Waremme;NA;98 m²;;;
69;Appartement;Waremme;NA;121 m²;;;
70;Appartement;Waremme;NA;93 m²;;;
71;Appartement;Waremme;NA;81 m²;;;
72;Appartement;Waremme;NA;94 m²;;;
73;Appartement;Waremme;NA;100 m²;;;
74;Appartement;Waremme;NA;85 m²;;;
75;Appartement;Waremme;NA;88 m²;;;
76;Appartement;Waremme;NA;93 m²;;;
77;Appartement;Waremme;NA;81 m²;;;
78;Appartement;Waremme;NA;94 m²;;;
79;Appartement;Waremme;NA;100 m²;;;
80;Appartement;Waremme;NA;85 m²;;;
81;Appartement;Waremme;NA;88 m²;;;
82;Appartement;Waremme;NA;93 m²;;;
83;Appartement;Waremme;NA;81 m²;;;
84;Appartement;Waremme;NA;94 m²;;;
85;Appartement;Waremme;NA;100 m²;;;
86;Appartement;Waremme;NA;85 m²;;;
87;Appartement;Waremme;NA;88 m²;;;
88;Appartement;Waremme;NA;136 m²;;;
89;Appartement;Waremme;NA;85 m²;;;
90;Appartement;Waremme;NA;97 m²;;;
91;Appartement;Waremme;NA;86 m²;;;
92;Appartement;Waremme;NA;79 m²;;;
